Country, Total Cases, New Cases, Total Deaths, New Deaths, Recoveries, Active Cases, Serious Cases, Cases Per Million,DeathsPerMillion, Tests, Population 
Egypt,310745,0,17619,0,262043,31083,90,2966,168.0,3693367,104777015
Moldova,305977,1299,6980,1,286951,12046,252,76075,1735.0,1857626,4022065
Oman,303915,0,4101,0,299181,633,10,57660,778.0,25000000,5270806
Slovenia,300969,883,4607,5,284624,11738,79,144745,2216.0,1618621,2079301
Bahrain,275538,0,1390,0,273536,612,4,155125,783.0,6565857,1776229
Armenia,271205,1331,5529,30,247553,18123,0,91307,1861.0,1797516,2970269
Kenya,250898,0,5179,0,243591,2128,51,4540,94.0,2598772,55269439
Bosnia and Herzegovina,240094,0,10863,0,192218,37013,0,73764,3337.0,1248564,3254913
Qatar,237359,62,607,0,235758,994,13,84535,216.0,2713874,2807805
Zambia,209336,21,3653,0,205417,266,19,10998,192.0,2502680,19034531
Nigeria,207479,0,2743,0,195052,9684,11,976,13.0,3090114,212599044
Algeria,204388,0,5846,0,140078,58464,20,4557,130.0,230861,44853261
North Macedonia,194575,344,6817,18,180791,6967,0,93399,3272.0,1319879,2083265
Norway,193054,0,871,0,88952,103231,13,35261,159.0,7938975,5474976
Botswana,180438,0,2376,0,176595,1467,1,74818,985.0,1770961,2411703
Kyrgyzstan,179186,66,2618,2,173953,2615,131,26903,393.0,1737541,6660466
Uzbekistan,177834,451,1266,3,173166,3402,23,5218,37.0,1377915,34083484
Albania,174643,475,2759,6,164524,7360,3,60771,960.0,1234808,2873810
Latvia,169917,1669,2794,7,150728,16395,66,91367,1502.0,4537156,1859715
Estonia,163803,1068,1394,3,149321,13088,27,123377,1050.0,1973258,1327667
Afghanistan,155466,18,7221,0,126071,22174,1124,3883,180.0,764673,40037170
Mozambique,150935,0,1921,0,147847,1167,32,4664,59.0,915744,32361933
Finland,145679,0,1096,0,46000,98583,28,26241,197.0,7187505,5551639
Montenegro,135010,408,1983,3,127502,5525,0,214927,3157.0,760564,628167
Zimbabwe,131705,0,4634,0,124866,2205,12,8701,306.0,1430471,15136923
Ghana,128368,0,1158,0,124514,2696,42,4025,36.0,1781277,31893504
Namibia,128047,0,3524,0,123402,1121,11,49265,1356.0,716660,2599146
Australia,125080,2528,1421,16,96234,27425,296,4834,55.0,39567927,25874733
Uganda,124544,107,3174,2,96252,25118,236,2618,67.0,1718085,47565257
Singapore,120454,0,142,0,95009,25303,41,20386,24.0,20013983,5908665
Cyprus,119548,134,558,0,90755,28235,20,98111,458.0,9420908,1218501
Cambodia,114571,220,2482,23,107376,4713,0,6735,146.0,2491818,17012017
El Salvador,107664,0,3368,11,89968,14328,339,16493,516.0,1309644,6527705
Rwanda,98485,0,1300,0,45496,51689,7,7373,97.0,2908263,13358140
Cameroon,95399,0,1517,0,80433,13449,152,3484,55.0,1751774,27381269
Jamaica,85905,225,1995,15,54094,29816,33,28851,670.0,614262,2977557
Maldives,85465,71,234,1,83809,1422,23,154661,423.0,1524400,552595
